Name,Description,Address,Lat,Lng,PhotoID,Photographer,PhotoType
Stanford Court Hotel,A penguin hidden for years behind a tall retaining wall on the northwest corner of Pine and Powell streets has been removed for restoration. It will soon be on display at the hotel entrance.,"905 California St., San Francisco",37.7914924,-122.4095468,13503503,"Paul Chinn, The Chronicle",portrait
University Club of San Francisco,"Inside this private club on Nob Hill is the only Bufano distinguished enough to have a bar named after it &mdash; the Black Cat. The sleek life-sized sculpture with a bite out of its ear, was once a fixture at the Press Club, it was traded by the artists for room and drink. In its day, the Press Club regularly invited politicians and dignitaries to ""Gang Night Dinner,"" and the rule was if the dignitary stood behind the Black Cat, everything said was off-the-record. It now sits on its bar, waiting to tell its story.","800 Powell St., San Francisco",37.7923442,-122.409034,13632614,"Chris Stewart, The Chronicle",landscape
Musee Italo Americano,"An elephant carved of polished bronze is near the museum entrance in Building C, Fort Mason. There is also a small granite sculpture of St. Francis in the museum library. Admission is free.","2 Marina Blvd., San Francisco",37.8068223,-122.4317732,13651354,"David Paul Morris, Sepcial To The Chronicle",landscape
Grace Cathedral,"Inside the sanctuary, to the rear of the pews is a statue of St. Francis in black marble, dated 1970. It is dark but comes to life when back-dropped by the western sun refracted through the stained glass windows.","1100 California St., San Francisco",37.7918593,-122.4133739,13503483,Sam Whiting,square
Eureka Valley/Harvey Milk Memorial Branch Library,A female torso in polished granite guards the entrance on 17th Street. It belongs to the city and was offered when the new Eureka Valley branch opened in 1961. It is the only Bufano in a public library.,"1 Jose Sarria Court., San Francisco",37.7640815,-122.4318162,13503488,Sam Whiting,square
San Francisco General Hospital,A bullet-shaped Madonna in red granite with a mosaic front soothes the wounded in the Comfort Garden to the side of an old old brick building at the corner of 22nd Avenue and Potrero Avenue.,"995 Potrero Ave., San Francisco",37.7572886,-122.4060338,13503491,Sam Whiting,square
San Francisco State University,"""Head of St. Francis"" carved in red granite rests on a granite plinth at the main quad. Nearby is a Greek kouros, a primitive male torso in the bushes.","1600 Holloway Ave., San Francisco",37.7227669,-122.4767213,13503484,Sam Whiting,square
California Academy of Sciences,Five animal sculptures are scattered throughout the museum and its grounds in Golden Gate Park. Paid admission is required.,"55 Museum Concourse Drive, San Francisco",37.7698646,-122.4660947,13659112,California Academy of Sciences,landscape
Sunnydale,"A rare combination sculpture of a bear (or boar) growling over the woman's head from ""Peace"" marks the entrance to the Sunnydale Development Leasing Office. It can be seen from Sunnydale Avenue just north of the Cow Palace.","1654 Sunnydale Ave., San Francisco",37.7126109,-122.4178863,13503493,Sam Whiting,square
Westside Courts,"St. Francis on Horseback is atop a brick plinth in the courtyard of a public housing project, where it has been since the 1940s.","2501 Sutter St., San Francisco",37.7848519,-122.4417036,13503485,Sam Whiting,square
de Young Museum,A female torso from 1940 and the head of George P. Hunt in glazed stoneware from 1920 are in the permanent collection of the Fine Arts Museums of San Francisco.,"50 Hagiwara Tea Garden Drive, San Francisco",37.771547,-122.4686619,13664584,Fine Arts Museums of San Francisco,custom
San Francisco Museum of Modern Art,"Sixteen Bufano sculptures, ranging from the head of his mother to the ""Crucifixion of Youth,"" are in the permanent collection.","151 Third St., San Francisco",37.7859072,-122.4008003,13659113,SFMOMA,square
